title,rank,report
서스펙트 제로,10,재밌어요 우연히 채널돌리다가 봤어요 
아바타: 물의 길,10,진짜 꼭보세요 대박임 세시간이 길게 느껴지지 않은 영화..
아바타: 물의 길,10,이런 영화 10년에 한번 나올까 말까함또 보고싶게 만드는 신기한 영화몰입감이 엄청나서 3시간을 2시간으로 느껴지게 만드는 신기한 영화
아바타: 물의 길,10,
아바타: 물의 길,10,후속작이 너무 기대되네요!!
아바타: 물의 길,10,
아바타: 물의 길,10,에이와를 중심으로 다들 하나 되는 것이가장 감동적이었다 ㅠㅠㅠ자세히 보면스토리 자체도 수준이 높다영상미도 다큐멘터리 보는 거 같고 (:
아바타: 물의 길,10,
아바타: 물의 길,9,"3시간 넘는 시간이 길게 안 느껴짐이게 영화다 싶음초반에 살짝 빌드업을 위해 길어진 부분이 있긴 하나, 영상미로 다 커버함"
아바타: 물의 길,4,기대가 큰 만큼 실망이 크고 지루합니다
아바타: 물의 길,10,보는내내 너무 가슴이 따끔따끔한 영화였다.
아바타: 물의 길,6,중간에 졸음... 두세번정도..
메기,6,믿지 못하고 데이트 폭력때문에 싱크홀에 빠트린겨?
아바타: 물의 길,10,짱입니다요 완전ㅋㅋㅋ
아바타: 물의 길,10,역대급 영화 남돌비 강추입니다!!!
아바타: 물의 길,6,헐리우드 영화의 모든 결말은 끈끈한 가족애  패밀리..
아바타: 물의 길,10,아바타는 아바타다ㅜㅜ
본즈 앤 올,8,괴물의 세계에도
아바타: 물의 길,8,잘 만든 다큐한편 보는 듯 했습니다.
신비아파트 극장판 차원도깨비와 7개의 세계,10,진짜 신비아파트 덕후면 넘후 조앟앟
올빼미,10,상영 종료 되기 전에 꼭 보세요... 진짜 재밌어요...ㅠㅠ
아바타: 물의 길,10,진심 최고임
올빼미,10,류준열 연기 너무잘함 반전에 소름돋고 연기에 소름돋고
아바타: 물의 길,10,3시간넘는 러닝타임이 무색하게 볼게많습니다
올빼미,9,절제 속에 목숨 여러개
아바타: 물의 길,10,그래서 CG는 어디에 쓴건가요? 내가 본 거라고는 현실 판도라뿐인데
아바타: 물의 길,1,다큐야 영화야.... 전반부에 쓸때없는 풍경묘사가 너무 지나치게 많았다. 작품성도 스토리도 1편이랑 다를게 없이 발전도 없음.
아바타: 물의 길,2,"아바타2 기대를하며 봤습니다. 높은평점과 좋은 CG 눈이 즐겁다. 하지만 딱 그게끝입니다. 좋은CG 눈이즐겁다. 여기서 끝입니다.액션?은 솔직히 빈약한거 같습니다. 가족의 중요함을 나타내는 뜻이 담겨있는만큼 영화에 액션이 줄었습니다. 예전에 아바타1에 비하면 너도나도 동의할듯합니다. 그래도 장르중 하나인 액션이 너무 빈약해 이런 풍부한 영상미,CG를 액션에 기대하셨다면 안되고 배경,판타지 쪽에 중점을 준다면 볼만은 합니다만. 러닝타임이 너무 길고 내가 주인공의 가족생활 영화 흡사&amp;#34;CG,영상미 좋은 그래픽좋은 아마존의 눈물을 보는것같습니다&amp;#34;"
아바타: 물의 길,10,
아바타: 물의 길,10,쩐다....2번보자
아바타: 물의 길,5,뛰어난 그래픽과 단순에서 엉망인 스토리와 개연성 개인적으로 블리치같았다.
아바타: 물의 길,10,쳐쥑이네!  쳐쥑이네!!!
아바타: 물의 길,6,고민받는 줄 알았다게다가 스파이더 뭐임?
아바타: 물의 길,10,"꼭 3d로 보시길,, 3시간 투자가 아깝지 않은 영화!"
원피스 필름 레드,10,좋다 매우 좋도다 또 보러가고싶다
동주,10,윤동주 시인님은 비록 돌아 가셨어도 그 분이 생에 남기신 시들은 지금까지도 살아 숨쉬고 있다는 것을 보여준 영화
노팅 힐,9,"감성 물씬한 고전명작은 언제 봐도 좋다.추울때, 외로울때 보면 더 좋다"
아바타: 물의 길,10,와 진짜 미쳤다.. 아바타 볼 수 있는 시대에 태어나서 행운임. 3탄 어떻게 기다리냐ㅠㅠ 
아바타: 물의 길,9,"IMAX나 돌비시네마로 봐야 영상의 진가를 느낄 수 있는 영화,4DX도 효과 미쳤고 일반관보다 특별관으로 꼭 보세요 ㅠ"
아바타: 물의 길,10,영화에 나온 온 바다씬이 너무 좋았다..전혀 cg같지 않았고 그 투명함에 힐링됨. ㅜ 
아바타: 물의 길,9,"솔직히 중간중간 루즈한 부분이 있긴한데, 3d로 보면서 느낀건 그런 루즈한 부분을 커버할 수 있는게 그래픽입니다. 진짜 소름 돋는 CG의 기술력을 볼 수 있는 듯. 영상미로는 깔 수 있는 사람은 없을 듯. 2d로 보고 3d로 다시 봤는데 2d보다는 3d로 보시길 추천합니다. 영화관 자율입장때문인지 관객들 중에 시작하고 십분 후에 들어왔다가 이미 자리에 있던 관객이 알고보니 자리에 있던 사람이 무임승차더군요. 최근 영화관에 갈 때 마다 무임승차 하는 사람이 있던데, 관리가 안돼서 관객들사이에 충돌이 일어나는 경우는 있으면 안되는 것 같네요."
올빼미,10,류준열 연기 너무잘함 반전에 소름돋고 연기에 소름돋고
아바타: 물의 길,10,존잼 꿀잼 긴장감 넘치고 재미있는 영화얐다!!
아바타: 물의 길,10,런닝타임 3시간넘는거 단단히 각오하고 갔더니 생각보다 길지 않다는 생각이 들 정도로 시간 금방감.바다씬이 많아서 바다체험 제대로 함. CG 엄청 생생해서 3D로 보는걸 추천함. 
아바타: 물의 길,10,"오리지널 1편을 뛰어넘는 또 하나의 역작!초반 30분까지는 1편에 대한 13년만의 향수를, 그 뒤로는 물속의 비쥬얼을 체험하듯히 선사 해준다.감히 1편을 제외한 그 어떤 영화도 비교가 될 수가 없는 퀄리티다.스토리,비쥬얼 둘 다 잡은 영원한 혁명의 SF레전드 영화다. "
올빼미,10,초반에는 재미없을수 있는데 뒤로 갈수록 내용이 재미있어지고 흥미진진해짐
아바타: 물의 길,10,스토리도 있고 감동까지 있었어요
아바타: 물의 길,10,1편보다 덜 감동적이였지만 3편을 위해 무한대기하겟습니다
헌트,7,재미있는 대중 영화!  강약조절과 미장센은 다음 작품의 과제
아바타: 물의 길,10,진짜 이건 대작입니다 안본 눈 사고 싶네요..포디로 보세요..투디로 봣다가 후회 중입니다
아바타: 물의 길,10,보는 내내 황홀하고 꿈꾸는 느낌이었습니다재관람 의사도 있습니다
아바타: 물의 길,10,그냥 모르겠고 또 볼거임…
아바타: 물의 길,10,지루할틈이없다 편한 스토리일수있지만 영상미 에 녹음 
아바타: 물의 길,10,12년 기다린 보람이 있음 
아바타: 물의 길,10,3d로 봐야 그 진가를 느낄 수 있는 환상적인 영상미의 영화. 3시간이 넘는 덕에 스토리도 무리하게 축약된 것 같지 않아 좋고  더 큰 화면으로 다시 한 번 더 보러가고 싶음
아바타: 물의 길,10,
자백,3,한정된 공간의 심리극에서 연기가 부족할 때
아바타: 물의 길,10,조오오오오온나 재밌음
기예르모 델토로의 피노키오,9,"221212[9]감독의 이전작에서 보여줘진 비주얼은 너무 비호감이고, 초반 등장하는 요정의 비주얼 때문에라도 괴작쪽으로 예상했는데, 동화의 현실적인 마무리로 여운이 남네요. 굿."
크리스마스 연대기: 두 번째 이야기,2,썰매를타고 날아다니는 씬이 스릴 넘쳣다 
닥터 스트레인지: 대혼돈의 멀티버스,6,요새 마블 작품을 보면 한숨만 나온다. 1편만큼만 나왔어도 좋았는데 말이지.-
비상선언,1,초중반도 전혀 괜찮지 않다; 연기도 전혀 괜찮지 않다;
아바타: 물의 길,6,원래 아바타는 영상미로 보는게 맞죠? 눈요기는 진짜 많다 못해 흘러넘침..
아바타: 물의 길,10,영상미 진짜 좋고 잘만들었어요 짱짱!
헤어질 결심,1,"한국영화 다시는 안 볼 결심!!!아니 김독이 일본 빠인건 알겠는데 스토리라인은 마스무라 야스조의 &amp;#39;아내는 고백한다&amp;#39;와 유사하고, 뭐 감독이 클래식 매니아같지도 않은데 느닷없이 줄가차게 틀던 &amp;#39;안개&amp;#39;말고 말러교향곡, 그것도 꼭 찝어 5번 트는걸 보아하니 루키노 비스콘티의 &amp;#39;베니스에서 죽다&amp;#39; 에서 말러 교향곡 듣고 멋있었던 모양이지? 근데 일본 그렇게 좋아하면서 녹음기술은 일본 1930년대 초창기 토키 영화만도 못함? 근데 대체 왜 우리나라 동시녹음수준은 1980년대 &amp;#39;깊고푸른밤&amp;#39; 이래로 한 한 치도 나아지질 않음. 음 해상도와 분리도가 안좋으니 볼륨을 높이면 시끄럽기만 하고 낮추면 하나도 안들리고..딱 하나 건진건 엔딩크레딧 올라갈때 나오던 정훈희, 송창식, 함춘호 기타버전의 &amp;#39;안개&amp;#39; 하나 뿐..영화 초기에 간간히 일부만 나오던 오리지날 버전 말고 이정현이 대사에서도 언급했던 60년대말의 트윈폴리오( 송창식, 윤형주) 버전이 있는데 여기서 송창식, 윤형주의 트윈 기타반주가 아주 기가막혔는데 감독도 그 버전을 특히 좋아하는 듯,  그런데 요즘 송창식과 묻어다니는 함춘호가 그 기타반주를 똑같이 재현함. 한 편으론 차라리 당시 트윈폴리오 버전을 그대로 갖다 썼으면 좋았을 텐데 하는 아쉬움도 남음. 어쨌든 칸에서 상받은 건 무조건 거르는 걸로."
"그 겨울, 나는",8,가난한 청춘 남녀의 현실적인 사랑이야기.
아바타: 물의 길,10,톨쿤 절대지켜..3시간 가는 줄 모르고 몰입해서 봤을 정도로그래픽이 미쳤고... 이젠 판도라가 현실인 것 같음
내안의 그놈,8,별생각없이봤는데 정말웃겼음ㅋㅋ
아바타: 물의 길,1,보지마셈 솔직히 1이 레전드얐음 ㅇㅇ
아바타: 물의 길,2,1편의 감동은 2편에서 찾아보기 힘들다. 돈 많이쓴 영화구나 라고 생각만 든정도. 스토리도 전체적으로 뭔가 부족하고 약간 억지아닌 억지도 있음. 4d는 절대 비추천.
아바타: 물의 길,6,영상빼고는 그닥~~ 2시간정도 지나니 빨리 끝났으면~~~~
아바타: 물의 길,1,영상미 등은 인정합니다. 다만 재미가 없는걸 어떡합니까..
아바타: 물의 길,10,"안보면 정말 후회할 영화, 두번 세번을 영화관 가서 보고 싶어요!! 3D로 보세요 꼭!!!!"
아바타: 물의 길,8,내용은 글쎄.그래도 3시간이 언제 지났는지 모르게 볼거리와 영상미는 뛰어났어요
아바타: 물의 길,7,발암가족....ㅋㅋ
아바타: 물의 길,10,최고의 영화였습니다 앞으로 이런영화가 더많이 나온다면 정말 감동입니다
아바타: 물의 길,10,13년을 기다린 보람이있네 3회차 예약이다 무조건 IMax 3D로 관람하길 극장에서 안보면 평생 후회할 영화
아바타: 물의 길,10,진짜 꼭 3D로 봐야할 영화
아바타: 물의 길,1,개재미없고 개연성 개나줌감상평 없음 차라리 걍 노래가 나은듯
아바타: 물의 길,10,너무 재밌습니다!행벅해요
아바타: 물의 길,2,뻔한 스토리. 개연성없는 전개. 가족히어로물인가 싸우다말고 극적인 전개를위해 다 빠짐 ㅋㅋ
압꾸정,10,재밌었음ㅋㅋ 관객들 다 웃음
비상선언,2,연출만 잘한 영화.모든 요소들이 연출이네요. 괜히 돈낭비했습니다.
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",7,"일본판 인소느낌,,원작은 안보고 감상했는데 크리스마스때 추억상 영화감상용 딱 그정도?굳이 시간내고 돈내고 봐야하는 영화는 아님!남친이 너무 보고 싶어해서 같이 가서 봄,,훌쩍이긴 했는데 전개가 너무 빨랐고 이보다 더 좋은 일본 로맨스영화가 더 많음"
아바타: 물의 길,8,화면이 정말 멋있고 재미있게 본 영화긴 한데 캐릭터 활용도가 아쉬움
동감,8,건축학개론+클래식+동감 
아바타: 물의 길,7,"스토리도 재밌고, 영상도 좋았는데,전작의 충격을 잊을 수가 없었는지..오랜 시간 공들여 만든 영상이라는게 느껴졌지만3시간은 좀.."
트루먼 쇼,10,마지막에 쇼가 끝나고 나서 아무렇지 않게 채널을 돌리고 일상으로 돌아가는 사람들. 쇼는 쇼일뿐.. 아름답게 포장할 필요가 없다.
올빼미,8,먼저 배우들의 연기가 돋보였던 영화 초중반의 긴장감 있었으나 후반부는 너무 빠르게 진행된 느낌
올빼미,10,아바타 보다 볼만함 긴장감 스릴감
아바타: 물의 길,10,진정한 혁명이다!!
올빼미,10,다 보고났는데도 여운이 가시질 않아요명작입니다
아바타: 물의 길,1,영상미는 좋은데 너무 지루했어요양 옆사람 다 졸다가 나온 것 같네요
숙희,10,독특해요. 재밌어요. 웃겨요.
아바타: 물의 길,10,유현이를 울린 작품 굉장하다
아바타: 물의 길,10,천박한 김치영화 드라마 예능 따위 하찮은 것들 보다가 이걸 특별관에서 보면 바로 이게 영화지~! 란 생각이 듭니다. 제 생애 최고의 영화입니다. 
아바타: 물의 길,10,그저 황홀함 이런 비주얼을 3시간 동안 볼 수 있다는 게
지옥의 화원,6,액션을 감성으로 표현했다고는 못할지다 
아바타: 물의 길,9,"정말 잘 만든 영화, 3시간이나 되는 긴 러닝타임임에도 불구하고 엄청난 몰입감이 최고였습니다 하지만 갑작스러운 이야기 전개 조금 뻔한 스토리 전개가 많이 아쉬웠습니다.. 하지만 올해 최고의 영화임은 명실 상부"
아바타: 물의 길,10,정말 정말 제 인생 최고의 영화입니다!3시간 넘은것도 너무 짧게 느껴졌고요ㅜㅜ 한 번 더 보러 갑니당 아바타3가 너무 기대되네요!!이거 재미없다는 분들은 도대체 뭔 영화가 재밌는 건지...
아바타: 물의 길,10,ㄷㆍㅌㄷㄴㄷ논트ㅡㄹ
아바타: 물의 길,10,말이 필요없다요.. 직접 확인 하시길
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",10,일본 특유의 감성이 잘 담겨있고 눈물샘을 터뜨리는 스토리라 울면서 봤음…ㅠㅠ 
아바타: 물의 길,10,영화보고 너무 몰입되서 180분내내 심장이 두근두근.. 오랜만에 즐거웠습니다 
아바타: 물의 길,10,너무 재미있게 봤습니다...꼭 고화질 영화관에서 보시길 추천드립니다.
아바타: 물의 길,7,"3d보다는 2d가 더 좋을 것 같구. 1편에 비해 놀라움은 적구, 10년 이상 기다림의 결과치고는 조금은 서운한 정도... 철학이 부족한 느낌."
페르시아어 수업,8,단지 숨을 연명하기 위함이었지만 잊혀질 뻔한 숨들마저 
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",10,진짜 너무 슬프다 영화 처음 시작하자마자 눈물이나고 결국 마지막엔 엄청 울었다 내 인생 영화다 진짜ㅜㅜ
아바타: 물의 길,9,"영상미 하나만 봐도 이 영화를 볼 가치가 충분하다고 봅니다.스토리가 빈약하다고 느껴질 수도 있으나, 저는 앞으로 나올 스토리의 전반부 느낌이라 느껴져서 좋았습니다."
아바타: 물의 길,10,재미있었음 생각보다 영상이 화려함
아바타: 물의 길,10,극장에서 꼭 봐야 해요 !!
아바타: 물의 길,10,눈이호강하는영화.마지막 한컷을 위한 3시간의 러닝타임
아바타: 물의 길,8,아쿠아리움 다녀온듯한 즐거움과 재미
아바타: 물의 길,10,진짜 즐겁게봤습니다 후회없는 3시간
아바타: 물의 길,10,기다린 보람이 있네요 영상이 정말  
아바타: 물의 길,10,가족 영화로 적극추천  흥미 감동 영상 ㅁㆍ두 GOOD
아바타: 물의 길,6,첫 자뿜은 잘받고요 2는 별로있니다
아바타: 물의 길,10,다 좋은데 3d로 봤다가 눈알빠지는줄 알았습니다ㅜㅜ 3d가 안맞는사람이 있을수도 있으니 참고하세요.. 머리 지끈거리고 눈물 줄줄흘렸어요 집중을 못해서 나중에 2d로 다시 보려구요. 연출은 정먈 예뻐요 
아바타: 물의 길,10,스포 없이 내 인생 최고의 영화 
아바타: 물의 길,6,중간 이후 잠들었어요 후 ㅋ
아바타: 물의 길,10,이 시대 영화와 극장 존재감에 고개 끄덕이게 해주는 증거...카메론 감독 생활에서 비롯된 곁들인 환경 메세지로..1점 더해 10점 남깁니다
극장판 뽀로로와 친구들: 바이러스를 없애줘!,2,그냥 뽀로로 100편 중 1편 같다.기승전결도없고... 교훈도 없음에디가 다 해놨는데 뽀로로가 다된밥에수저얹기
아바타: 물의 길,10,영화관인줄 알고 갔더니 수족관에 풍덩 들어갔다 나왔네요
아바타: 물의 길,2,솔직히 별로임 극찬할이유가?
올빼미,10,2022 최고의 영화라고 자부합니다.모두들 꼭 보세요!
아바타: 물의 길,1,나만 당할 수 없지.. 3시간 동안의 물고문이다
압꾸정,2,개봉날 꽁짜로보고 꽁짜로 팝콘 먹었는데 내시간이 아깝더라
아바타: 물의 길,10,정말 좋았습니다 아바타1 안봤는데도 재밌음 ㄹㅇ5넘게 볼수잇을듯 내 인생영화임 꼭 보새요;!
아바타: 물의 길,10,아맥3d로 본 영상 신세계임극장에서 같은 영화 2번이상 보고 싶다은 생각이 든건 첨임 ㅡㅡ
아바타: 물의 길,7,영상미는 뛰어나지만 지루한 러닝타임
아바타: 물의 길,6,"판도라 다큐멘터리(판도라판 북극의 눈물, 판도라 내셔널지오그래픽, 판도라 타이타닉)+ 판도라 중2병 자식 키우기재미는 1편이 짱!"
아바타: 물의 길,10,"문제의식이 더 진전된 속편,인간 존재에 대한 질문이 What에서 Why로,Science Fiction에서 Spiritual Fiction으로 "
아바타: 물의 길,8,스토리보다는 4d 기술에 더 집중했던 것 같은데 그래도 마지막에는 울 정도로 감동적이었어요! 추천합니당
더 헌팅,10,
아바타: 물의 길,10,
아바타: 물의 길,10,이번 크리스마스에 한번 더 가서 보려구요
아바타: 물의 길,2,기대를 갖고 봤지만 실망만 하고 돌아온 영화ㅡㅡ... 기승전결이 다 표현되기보다 내용이 초입부에서 끝난거 같아 보는 내내 설마 내용이 이게 끝이야? 라는 생각만 들었음.
아바타: 물의 길,10,자연환경이나 수중 그래픽도 훌륭했는데 우주나 매카닉류가 현실에 가까울정도로 잘만들었음.
올빼미,10,재밌었어요. 오랜만에 시간가는줄 모르고 봤네요
아바타: 물의 길,10,오늘 3d아이맥스로관람하고왔는데 3d로보지말고 2d로 보라는 말들이있어서 혹했는데 역시 3d로 관람하는게 답임 이제 2년을 어케기다리누....
아바타: 물의 길,1,"너무 길어서 엉덩이 아팠고, 지루하고, 인물들은 너무 많고, 싸우는 건 정신없었다. 이게 인기 많은 영화라니 슬펐다. "
아바타: 물의 길,10,너무 재미있었어요 아이들과 3시간이 넘는 시간동아지루할 시간이 없었네요 최고 입니다
아바타: 물의 길,10,"1편 만큼의 감동을 찾는 사람들이 이상하다는 생각이 든다. 1편 그 자체로도 이미 역사였고 2편은 서사를 풀어가는 이야기가 되어야하는데 자꾸 새로운 감동을 찾는다. 1편이 그래서 단순 스토리가 감동이었나? 아니다. 사실 스토리는 뻔한 내용이었다. 2편보다도 더욱 더. 그 당시 기술력과 상상력으로 그런 세계를 만들어낸 그 자체가 감동이었던거다. 그렇다고 2편이 1편보다 못하냐 묻는다면 절대 아니다. 그래픽은 더 좋아졌고, 앞으로의 이야기가 더 궁금해지는 계기가 되었다. 빨리 후속편이 기다려지는 시리즈물의 완벽한 탄생인거지 ㅎㅎ"
아바타: 물의 길,6,전형적인 디즈니 영화.... 도데체가 이해가 안되네... 왜 자꾸 애들이 스토리를 끌고 가는지 .. 너무 유치한 듯 ... 
아바타: 물의 길,10,인생영화 탑3안에 든다
올빼미,10,제발 한번 봐주세요...근간 본 스릴러 중에 제일 오싹하면서도 연기도 정말 좋았습니다
헌트,8,"간만에 웰메이드 영화를봤는데 이게어떻게 첫작품일수 있을까.. 전개속도, 연출, 액션, 연기 뭐 전부다 진짜 지루할틈없이 여러구도에서 여러장면과 매력을 보여줌. 그리고 정우성 거울보는 장면에서 게이될뻔. 위험했다. 넷플릭스로 자막달고보니까 볼만함. "
아바타: 물의 길,2,진짜 스토리가 한숨나오는 영화 이런데도 cg만 가지고 찬양하는 사람들 수준이 참;;;
아바타: 물의 길,7,좀 발암 포인트가 많음 1을 이길 순 없을듯..눈은 즐거웠음 
어웨이크,8,대결 그자체보다는 서사가 더 재밌었다
아바타: 물의 길,10,크앜!! 야야야야 까르르르르 쉬익쉬익쉬익
아바타: 물의 길,9,1편만큼의 충격적 비주얼은 아니었지만~그래도 믿고보는 제임스 카메론 감독님~그리도 긴 러닝타임에도 불구하고~정말 순삭의 느낌은 여전함~3편을향해가는 길목의 브리지 역할이라 스토리나 액션은 중타정도~하지만 다음 3편이 기대되는 건 2편 마지막 장면의 주인공 제이크 설리의 각성~이미 영화촬영은 마쳤다는데...역시나 개봉은 내년 연말~우째 기다리노~시간아 순삭해다오~^^
그레이 맨,8,킬링타임용으로 딱~ 쫄깃한 액션이
아바타: 물의 길,10,아쿠아리움 구경다녀온거 같아요.영상미도 있고 너무 재미있었어요??
아바타: 물의 길,2,아름다운 영상은 인정!!! 그러나...굳이 3시간이나 끌어야 했나요? 저는 개인적으로 월드컵 결승전이 83600배는 더 재미있어요 
아바타: 물의 길,10,님들 말 보고 3d 조조 때렸다가 끝나고 나오는 길에 시력을 잃었어요 2d로 봐도 될 것 같아요2d로 한 번 더 봐야징
아바타: 물의 길,10,지루한 장면 하나도 없었고 그저 경이로웠습니다
아바타: 물의 길,10,아이맥스에서 보세요!
올빼미,10,근래 본 것들 중에 제일 존잼
아바타: 물의 길,9,1과 결이 비슷해서 최초의 임팩트가 떨어질 법도 한데 영상미로 다 조지는
아바타: 물의 길,6,"cg 진짜 멋있어서 눈이 즐거웠음. 다만, 역시 스토리는 아쉬움. "
뇌맘대로 로맨스 LR,10,스토리가 너무 신선해서 재밌게 봤네요 특히 OST가 중독적입니다 ...
럭,7,행운과 불운이라는 우리 옆에 있는 소중한 가치를 느끼게 만드는 영화.
아바타: 물의 길,8,2조6천억;;;솔직히 아쿠아맨이 더잼있다
아바타: 물의 길,8,스토리는 예상가능한 수준(대충이렇게되겠네 - 맞음)영상미는 휼륭함극장가서 큰화면으로 보길잘함1편 - 우와~ 헐대박 어떻게 저런생각을 하지??!2편 - 오오~ 으음~~ 오오오~ 정도임
아바타: 물의 길,10,역쉬 아바타~벌써 3편이 기다려집니다 ^^
살인자의 기억법,10,난 살인범으로 태어났으니까넌 살인자의 딸이 아니야은희를 보면 살고싶다살인자! 운명일까?죽고 죽이는 악의 굴레에서 사는 이들이 가엾다.그들을 구해야한다 피의자도 피해자도
아바타: 물의 길,10,영화는 이래야 한다 스토리고 뭐고 보고 나오면 뿌듯한 기분이든다 
아바타: 물의 길,10,상영관 들어가기 전에 세시간을 어떻게 버티나 했는데 보고나니 여섯시간도 볼 수 있겠다 싶었어요. 아바타의 영상미를 따라올 영화는 이 세상에 없을 것 같네요! 
아바타: 물의 길,10,1탄 보다 영상미는 훨씬 좋고 3D 효과도 더 휼륭하다 꼭 3D로 봐야할 영화.스토리는 가족 사랑의 반전이 있어 휼륭하다. 3편을 어떻게 만들려고 이러나? 대단하다
아바타: 물의 길,10,넘 슬프고 감정몰입이 되서 울고싶지않아도 울게됩니다... 꼭 추천
엔칸토: 마법의 세계,10,스토리는 단순했지만 단순하다고 나쁜 게 아니다. 깔끔한 스토리를 즐거운 노래와 화려한 비주얼로 아름답게 그려냈다. 메세지는 감동적이었고 인물 하나하나가 개성 넘쳤다. 
아바타: 물의 길,10,최고입니다...감정이입 몰입감 최고입니다 3시간 동안 호강하고 갑니다..3편에서 인간들 전멸하면 좋겠습니다. 3편도 너무 기대됩니다 
아바타: 물의 길,8,스케일은 커지고 볼거리는 많았지만 스토리는 난해한...
아바타: 물의 길,10,특히 자식있는 부모라면 꼭봐야합니다 
아바타: 물의 길,8,누구나 알 수 있는눈에 가득찬 행복
꼬방동네 사람들,10,
아바타: 물의 길,10,장난아닙니다.... !!
바스터즈: 거친 녀석들,8,바스터즈 : 거친 녀석들 2 (일본버전) 나와라
탄생,9,천주교 사제로서만이 아니라 그시대 지식인으로서의 민족을위해 노력하고 희생한 젊은이의 짧은생
아바타: 물의 길,8,"화려한 영상미 최고, 초라한 스토리 졸림."
아바타: 물의 길,9,흘러가는 영상미로도 볼 재미가 있는 영화. 
아바타: 물의 길,10, 최고입니다 영상미 액션 전 두번보러 갑니다4d 3d강추
스모킹 에이스,8,이제와서 보면 캐스팅 라인업 지림ㅋㅋ 난잡하고 너무 병맛이라 좀 부담스러운 느낌 있지만 꽤 볼만함
아바타: 물의 길,10,역대 최고 영화! 꼭 보시길
아바타: 물의 길,8,인간 나쁜 거 알겠는데 너무 혐오적으로 표현해놓음 좀 거북했음
첫번째 아이,2,개인적으로 크게 공감하는 사람이 있을까 싶은 영화였습니다. 제대로된 준비 없이 아이를 낳은 능력있는 커리어우먼의 비애... 이 영화를 보고 다른 여성들이 나도 저렇게 되겠지.. 애 낳기 싫다 라는 단편적인 생각은 안했으면 합니다 
베놈 2: 렛 데어 비 카니지,2,"A급 배우, A급 제작비, B급 영화 오마쥬, D급 결과물.타란티노가 되고 싶었던 감독. 오리는 백조가 될 수 없다. "
크리스마스 캐럴,6,재미도 감동도 그냥 그럭저럭인 영화.감독님이 아직 초보티가 나는 느낌.
헤어질 결심,10,로맨스 속에서도긴가 민가 추리가 나름대로 이어짐.절절한 OST가 잘 어우려져조금 지루한 연출임에도짜증보다는먹먹한 감정이 남는영화
1번국도,10,생각할거리가 많은 영화답을 만들어주기보단 답을 찾기 바라는 영화
원피스 필름 레드,1,어느순간 부터 원피스는 액션 하나하나에  지나치게 많은 서사를 집어넣는다.  액션은 완전 뒤로 빠져버리고...주저리 주저리...스케일은 크게 벌려놓구 수습은 안되는...안타깝다.
헌트,10,넷플릭스에서 봤는데 올영화중젤 재밌게봄말이안들린다하는데 자막틀고 보면됨
아바타: 물의 길,10,
올빼미,10,배우들 연기와 감정 표현 담아냄이 멋짐
마일 22,10,마일22.믿고보는 마크 월버그. 처음부터 끝까지 심장 쫄깃하게 감상했다.첩보물 액션물 좋아하는 영화 매니아 라면 강추.2022  12  19일 추운 겨울  집에서 넷플릭스로 즐감했다.
아바타: 물의 길,10,너무 재밌어요????
"오늘 밤, 로맨스 극장에서",10,이 영화  멋진  로맨스 영화 입니다.영화 노래도 좋고  영상미도 훌륭.대사도 여운에 남는 대사도 있고배우들 모두 연기 훌륭했습니다.만질 수 없지만  평생사랑한   이야기  꼭 보세요. 
아바타: 물의 길,10,
아바타: 물의 길,10,몇번 더 볼 예정이예요! 빨리 6년 후도 왔으면 좋겠어요. 모든 속편 다 보고싶습니다ㅠ
"나, 다니엘 블레이크",8,뭐가 잘못된 건지 계속 제자리 걸음이오...끈끈한 유대감 및 연대의 힘...절망적인(난감/위기) 현실속에서 서로에게 희망이 되어주다... 까다로운 수당 자격 절차...억척스러운 케이티의 상황을 보며 넷플릭스 드라마 &amp;#39;조용한 희망&amp;#39; 속 여쥔공이 연상되던...ㅠ__ㅠ
올빼미,10,
아바타: 물의 길,10,인간의 잔인함과 가족의 소중함을 알게 함. 2시간50분동안 눈을 호강시키다 15분간 눈물 짖게 함. 2인 영화비 34000원과 3시간20분의 시간이 전혀 아깝지 않은 명작 중의 명작.
아바타: 물의 길,10,두글자로 정의 가능하다. 대박.
아바타: 물의 길,7,강추는 아니지만 안볼수가 없는 영화. 13년만에 후속작이라고 스토리나 전개는 낡고 오래된걸 들고 나왔지만 감독의 팬이라면 너그럽게 봐줄듯. 
아바타: 물의 길,2,2시간 30분동안 잤음
아바타: 물의 길,1,어떻게 이게 재밌을수가 있지? 클리셰 덩어리에 개연성 엉망인데.. 영화 즐겨보는사람이라면 보러가지 마세요 진짜
아바타: 물의 길,10,미해병대는 총을 못쏜다.
탄생,10,"이 종교적 인물에 대해 어찌 풀어갈까 싶었는데 주인공에 대한 해석, 관점이 좋았다"
아바타: 물의 길,10,CG에 끝판왕입니다3시간 후딱지나가네요
라스트 레터,10,잊고 있었던 꿈과 희망 사라져가는 기억들망각은 축복이자 쓸쓸함
아바타: 물의 길,10,3시간 순삭 날라갔네요 몰입도 최고네요원작을 능가하는 후속은 없다는데 틀을 깼습니다 극장에서 꼭 보시길
탄생,10,감동있는 김대건신부님의 영화두번보아도 눈물 찡~~~입니다.적극추천입니다.
